year,month,day,hour,sumCount
2019,9,15,8,1638298
2018,9,8,14,1985217
2019,9,15,11,1729183
2018,9,8,15,1926374
2018,9,7,9,2073184
2018,9,30,18,2083809
2018,9,11,9,1703396
2019,9,15,6,1384830
2019,9,20,13,1667719
2018,9,11,4,1443791
2019,9,20,12,1643713
2019,9,14,11,1486660
2018,9,8,13,1923550
2019,9,14,12,1493307
2019,9,14,10,1436273
2019,9,15,10,1690444
2018,9,11,10,1691058
2019,9,20,10,1612324
2018,9,11,8,1703704
2018,9,7,8,2094657
2018,9,30,14,2097846
2018,9,30,13,1993040
2018,9,11,7,1578462
2019,9,19,16,1667163
2018,9,6,16,1940084
2019,9,28,18,1639403
2019,9,22,22,1715818
2019,9,28,15,1648187
2018,9,6,18,1897153
2019,9,9,16,1516949
2019,9,19,18,1610000
2019,9,19,17,1615341
2018,9,10,18,1915701
2019,9,22,21,1747650
2019,9,22,20,1847256
2018,9,6,20,1853845
2018,9,2,6,1412800
2019,9,28,14,1665248
2019,9,28,16,1592057
2018,9,6,19,1952014
2019,9,19,15,1710046
2018,9,2,4,1308779
2019,9,9,17,1549311
2018,9,2,3,1264212
2018,9,6,17,1872263
2018,9,2,1,1307916
2018,9,10,15,1896924
2019,9,9,18,1612388
2019,9,28,17,1597547
2019,9,9,14,1474517
2018,9,6,15,1926418
2018,9,2,5,1356104
2018,9,10,14,1901792
2018,9,2,0,1379309
2018,9,10,17,1972805
2019,9,19,13,1734586
2018,9,10,19,1947117
2019,9,22,23,1707852
2018,9,2,2,1346394
2019,9,9,15,1497104
2019,9,28,19,1851677
2019,9,19,14,1748272
2019,9,9,19,1604684
2018,9,10,16,1887500
2019,9,9,20,1522038
2018,9,2,7,1460304
2019,9,22,19,1815175
2019,9,10,18,1542786
2018,9,26,1,1745428
2019,9,5,11,1482996
2018,9,16,1,1554877
2019,9,5,9,1387300
2019,9,6,7,1383253
2018,9,29,4,1602839
2019,9,6,2,1163220
2018,9,23,1,1563705
2018,9,16,3,1458269
2019,9,5,10,1433515
2019,9,5,13,1543325
2018,9,16,0,1377767
2019,9,6,0,1222646
2018,9,29,6,1696011
2019,9,10,20,1583965
2019,9,6,4,1167781
2019,9,10,21,1371806
2018,9,16,5,1511787
2019,9,10,22,1228638
2018,9,26,2,1722393
2018,9,29,2,1737966
2019,9,10,19,1590244
2018,9,23,3,1672023
2019,9,6,1,1180323
2018,9,29,7,1801749
2019,9,10,17,1486581
2018,9,23,6,1689298
2018,9,23,4,1749904
2019,9,6,5,1196959
2018,9,26,3,1701900
2019,9,10,16,1489346
2018,9,23,5,1650421
2019,9,6,3,1168923
2019,9,5,12,1517814
2018,9,23,2,1796242
2018,9,26,6,1819446
